Drug,Y
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN1CCCCC1,-0.565350286
CC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(O)=O,0.110750215
C[C@H]1COc2c(c(F)cc3c2n1cc(C(O)=O)c3=O)C1(N)CC1,-0.178365603
CCCCc1ccc2[nH]c(NC(=O)OC)nc2c1,-1.718762558
O[C@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5O[C@@H]1[C@]2(CCN3CC1CCC1)c45,-0.788675682
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C,0.361177649
CCN(CC)CCNC(=O)c1cc(ccc1OC)S(C)(=O)=O,0.134645389
CN1C2CCC1CC(C2)OC(=O)c1cc(Cl)cc(Cl)c1,0.25223776
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(c1)C(C)(C)C(F)(F)F,0.173237946
CN1C2CCC1CC(C2)OC(=O)c1cc(C)cc(C)c1,-0.12702321
CCn1c(N)c(C(=O)NC)c(=O)c2ccc(nc12)C#C[C@@](C)(O)COC,0.750901371
S=C(NC1CCCCC1)N1CCC(CC1)c1c[nH]cn1,0.315926912
CN1CCN(CC1)c1cccc(Nc2nc3c(cccn3n2)-c2ccc(cc2)S(C)(=O)=O)c1,0.194384394
CC(CCCCC(=O)Nc1ccc(cc1)C(F)(F)F)NCCc1c[nH]cn1,0.366697675
CC(C)(C)c1cc(cc(c1O)C(C)(C)C)\C=C(/C#N)C(N)=S,-0.141591671
O[C@@H]1CCCC[C@H]1N1CCC(CC1)c1ccccc1,0.136411001
CC(C)CCN1C(C)C(=O)N(C)c2cnc(Nc3cc(F)c(O)c(F)c3)nc12,-0.13481615
CCCCCCN(CCCCCC)C(=O)Cc1c([nH]c2ccccc12)-c1ccc(F)cc1,-0.233642947
CN1CCN(CC1)c1ccc(cc1)-c1nc2c(N3CCN(Cc4cc(C)on4)CC3)c(Br)cnc2[nH]1,-1.462531063
CCCCCCN(CCCCCC)C(=O)Cc1c([nH]c2ccc(Cl)cc12)-c1ccc(Cl)cc1,0.547135744
Cn1cnc(=N)c2nc[nH]c12,0.111200477
O=c1cc(oc2c3ccccc3ccc12)N1CCOCC1,0.42098307
CCCCOc1ccc(cc1)C(=O)Nc1ccc(F)cc1F,0.65398756
Cc1nc(N)sc1CCN,-0.095919406
Nc1ccc(cn1)-c1ccc2ncc3ccc(=O)n(-c4cccc(c4)C(F)(F)F)c3c2c1,-1.650805639
CC(C)Oc1ccc2c(c1)oc1ccc(cc1c2=O)C(O)=O,0.300553311
COc1ccc(CNCc2cccc3ccccc23)cc1,-0.076347122
CC(=O)[C@@]12OC(C)(O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]21C)c1ccccc1,0.197607493
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O,0.35969367
NC(=O)OCCCc1ccccc1,0.19050696
CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O,0.019719697
CCC(=O)c1ccc(OCC(O)CN2CCN(CC2)c2ccccc2)cc1,0.107708281
NCC(=O)CCC(O)=O,0.080619254
CCN(CC)CCNC(=O)c1ccccc1I,-0.174212956
COc1cc(ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@](C#N)([C@H]1c1cccc(Cl)c1F)c1ccc(Cl)cc1F)C(O)=O,0.060684719
NCC(CC(O)=O)c1ccccc1,0.003980932
